speed_kmh,rpm,temp_outside_C,mass_kg,aero_cd,engine_temp_C,road_slope_deg,passengers,fuel_consumption_l_100km
122,6293,16,1497,0.37532652318730897,99,5.938403951164188,3,12.291364299942435
112,3459,37,1679,0.38205141121439745,68,0.2807890391364998,3,10.95010408561209
34,5192,11,884,0.3251967549812531,70,8.66186340212103,4,9.71493918981798
126,6802,23,1391,0.2779909326493046,52,2.279189418927637,1,13.305227958402806
91,6273,5,1640,0.2690678453559563,75,-0.23458892938679288,4,10.042513973984605
40,2718,9,876,0.338224616512031,82,-0.8047121407580811,2,5.779655343223534
122,2265,15,1129,0.3259564486877951,79,9.086006724706014,2,10.206640366545821
141,6423,5,1182,0.35421836535515017,71,6.378714859139096,1,12.45571974925587
94,2308,-5,2256,0.2957810893929987,54,0.2484864526303303,2,9.839096279658534
107,2050,34,1176,0.31035519925365435,68,-1.1874733299202904,4,9.625114170278431
136,4473,33,1140,0.25320416107767363,58,-1.8257443643981897,2,11.054871048662314
119,6479,12,2000,0.3415214567613294,73,-1.332610534517185,2,10.596949791285043
123,3249,31,2249,0.31347152820197166,88,-3.3353091284453633,3,8.466531562977364
150,3809,26,1223,0.3879646950720172,61,2.2710243790753175,4,12.706339592061228
72,3921,-3,973,0.34626794465572075,95,-4.383917577095288,3,6.59691910456324
21,5676,-5,1205,0.30980417371745406,97,-4.827280304151124,1,6.064205979038976
107,5041,26,881,0.28953837713100256,94,4.271088897053991,4,10.369750333034043
57,3417,11,820,0.38579274139114583,76,-3.6728102202715442,3,6.093069694791225
149,1532,-5,1490,0.2524397611176165,99,7.678144193846295,4,10.838656717758907
40,6271,21,1809,0.29903687008785884,91,-3.3990683222872327,2,7.724561727663692
77,6221,6,1197,0.39152583756820525,70,3.1400349991170966,1,9.804425296059623
41,1898,27,1129,0.34810495104723616,87,5.132554635069223,2,7.009787258350016
108,3654,6,1024,0.3299078606924949,84,-1.562667399239702,2,7.895718260968796
68,2469,26,2225,0.28053020768806414,81,8.323962344185334,4,9.523927553211205
78,3920,12,1580,0.3750062161381581,85,2.220803528732329,1,8.284245262499201
34,2252,38,1693,0.28062985938891644,82,-0.27021357321901807,4,6.282500487893481
70,1769,38,1237,0.2872380297281875,92,8.516929121105976,2,8.443678155760155
127,1833,2,2095,0.2787776714307783,66,7.875103652776337,1,12.093845544866808
74,3209,21,2103,0.27372241908542827,54,5.644411024319309,1,10.723756878553473
83,5649,11,1022,0.39299687439682046,93,-0.6427632392690077,2,8.76721773654674
150,4424,-4,2410,0.34030473942119627,69,0.8530950947888112,4,13.248166812866609
70,2091,11,2486,0.3456755698015141,72,5.346000438619027,2,8.523909071222937
154,2196,10,1308,0.39314881985181754,88,-2.2207351342023802,2,8.594123682117287
40,4914,-5,2165,0.2845862582688344,53,2.426687078763364,2,10.353250333015394
92,2660,3,1416,0.2508876307896538,75,6.065833940071752,4,9.253693427484345
37,5654,5,1865,0.3398325474355437,79,4.865693906063166,1,9.094097101260392
